SSD capacity:		4GB
Page size:		4KB
Pages / Block:		128 pages
Block size:		512KB
OP ratio:		25%
Physical Blocks:	8K (8192)
User Blocks:		6553
OP Blocks:		1639
PPNs:			1M (1048576)
LPNs:			838784
Total runs:		x10
Actual capacity:	3435659264 Bytes

Workload : Multi Hot/Cold
FTL : Multi-Stream policy
blk to erase 1314 2644
blk to erase 2032 1314
blk to erase 2677 2032
blk to erase 1945 2677
blk to erase 4009 1945
blk to erase 4506 4009
blk to erase 2410 4506
blk to erase 1259 2410
blk to erase 2676 1259
blk to erase 2152 2676
blk to erase 2042 2152
blk to erase 2673 2042
blk to erase 1854 2673
blk to erase 1317 1854
blk to erase 3307 1317
blk to erase 1822 3307
blk to erase 1178 1822
blk to erase 1492 1178
blk to erase 5098 1492
blk to erase 1251 5098
blk to erase 6924 1251
blk to erase 2672 6924
blk to erase 1175 2672
blk to erase 6509 1175
blk to erase 2670 6509
blk to erase 1122 2670
blk to erase 6497 1122
blk to erase 4497 6497
blk to erase 6340 4497
blk to erase 2434 6340
blk to erase 5050 2434
blk to erase 4618 5050
blk to erase 6227 4618
blk to erase 6186 6227
blk to erase 701 6186
blk to erase 2669 701
blk to erase 6083 2669
blk to erase 2666 6083
blk to erase 5949 2666
blk to erase 1066 5949
blk to erase 5725 1066
blk to erase 2663 5725
blk to erase 5644 2663
blk to erase 1030 5644
blk to erase 4761 1030
blk to erase 5602 4761
blk to erase 5572 5602
blk to erase 3503 5572
blk to erase 840 3503
blk to erase 5542 840
blk to erase 3203 5542
blk to erase 5421 3203
blk to erase 5141 5421
blk to erase 896 5141
blk to erase 2972 896
blk to erase 5410 2972
blk to erase 2662 5410
blk to erase 5236 2662
blk to erase 37 5236
blk to erase 5123 37
blk to erase 2975 5123
blk to erase 5101 2975
blk to erase 853 5101
blk to erase 5061 853
blk to erase 4916 5061
blk to erase 5007 4916
blk to erase 1390 5007
blk to erase 2956 1390
blk to erase 4849 2956
blk to erase 4841 4849
blk to erase 2660 4841
blk to erase 160 2660
blk to erase 4132 160
blk to erase 2659 4132
